Day,Hour,Region,% of Total Trip Count,Trip Count,ID
2,0,South East,16.30%,2679,7
2,0,South West,7.62%,1252,6
2,0,West,4.42%,727,5
3,23,CBD,1.07%,272,10
3,23,Central,25.03%,6365,0
3,23,Central East,6.39%,1625,1
3,23,East,10.83%,2755,4
3,23,North,7.13%,1814,2
3,23,North East,6.96%,1770,8
3,23,North West,6.75%,1717,9
3,23,South,8.77%,2229,3
3,23,South East,14.69%,3735,7
3,23,South West,7.55%,1919,6
3,23,West,4.83%,1229,5
3,22,CBD,1.35%,358,10
3,22,Central,24.59%,6545,0
3,22,Central East,5.67%,1508,1
3,22,East,11.67%,3107,4
3,22,North,7.07%,1883,2
3,22,North East,6.89%,1833,8
3,22,North West,6.92%,1842,9
3,22,South,8.77%,2334,3
3,22,South East,14.88%,3961,7
3,22,South West,7.50%,1997,6
3,22,West,4.69%,1248,5
3,21,CBD,1.29%,345,10
3,21,Central,24.74%,6617,0
3,21,Central East,5.29%,1416,1
3,21,East,11.85%,3171,4
3,21,North,7.15%,1912,2
3,21,North East,6.79%,1817,8
3,21,North West,6.64%,1776,9
3,21,South,8.88%,2376,3
3,21,South East,15.08%,4033,7
3,21,South West,7.86%,2102,6
3,21,West,4.43%,1185,5
3,20,CBD,1.54%,381,10
3,20,Central,25.96%,6442,0
3,20,Central East,4.91%,1219,1
3,20,East,11.82%,2932,4
3,20,North,6.88%,1706,2
3,20,North East,6.20%,1538,8
3,20,North West,6.34%,1572,9
3,20,South,9.36%,2322,3
3,20,South East,14.90%,3697,7
3,20,South West,7.77%,1927,6
3,20,West,4.33%,1075,5
3,19,CBD,1.49%,332,10
3,19,Central,27.25%,6077,0
3,19,Central East,5.07%,1131,1
3,19,East,9.89%,2207,4
3,19,North,6.34%,1414,2
3,19,North East,5.12%,1141,8
3,19,North West,5.56%,1241,9
3,19,South,11.45%,2553,3
3,19,South East,16.02%,3573,7
3,19,South West,8.30%,1851,6
3,19,West,3.52%,785,5
3,18,CBD,1.37%,424,10
3,18,Central,28.17%,8741,0
3,18,Central East,4.74%,1472,1
3,18,East,10.46%,3246,4
3,18,North,6.07%,1884,2
3,18,North East,5.11%,1585,8
3,18,North West,5.38%,1670,9
3,18,South,11.33%,3516,3
3,18,South East,15.84%,4916,7
3,18,South West,8.05%,2497,6
3,18,West,3.47%,1076,5
3,17,CBD,1.21%,340,10
3,17,Central,27.05%,7614,0
3,17,Central East,4.85%,1364,1
3,17,East,11.50%,3236,4
3,17,North,6.08%,1710,2
3,17,North East,5.23%,1473,8
3,17,North West,5.35%,1505,9
3,17,South,10.43%,2936,3
3,17,South East,15.58%,4385,7
3,17,South West,9.03%,2542,6
3,17,West,3.70%,1040,5
3,16,CBD,0.85%,234,10
3,16,Central,25.59%,7054,0
3,16,Central East,5.04%,1389,1
3,16,East,11.79%,3250,4
3,16,North,6.38%,1758,2
3,16,North East,5.42%,1493,8
3,16,North West,5.45%,1503,9
3,16,South,10.74%,2961,3
3,16,South East,15.55%,4286,7
3,16,South West,9.64%,2657,6
3,16,West,3.56%,980,5
3,15,CBD,1.00%,289,10
3,15,Central,26.81%,7722,0
3,15,Central East,4.88%,1405,1
3,15,East,11.57%,3334,4
3,15,North,5.82%,1675,2
3,15,North East,5.10%,1468,8
3,15,North West,5.38%,1550,9
3,15,South,10.71%,3086,3
3,15,South East,15.24%,4390,7
3,15,South West,10.04%,2893,6
3,15,West,3.44%,992,5
3,14,CBD,1.05%,311,10
3,14,Central,28.08%,8330,0
3,14,Central East,4.84%,1436,1
3,14,East,11.61%,3446,4
3,14,North,5.66%,1678,2
3,14,North East,4.97%,1475,8
3,14,North West,4.88%,1449,9
3,14,South,10.93%,3244,3
3,14,South East,14.68%,4356,7
3,14,South West,9.83%,2916,6
3,14,West,3.47%,1029,5
3,13,CBD,1.13%,334,10
3,13,Central,29.05%,8572,0
3,13,Central East,4.82%,1422,1
3,13,East,10.68%,3150,4
3,13,North,5.29%,1560,2
3,13,North East,4.64%,1370,8
3,13,North West,4.78%,1410,9
3,13,South,11.45%,3377,3
3,13,South East,14.63%,4318,7
3,13,South West,10.25%,3023,6
3,13,West,3.28%,969,5
3,12,CBD,1.19%,341,10
3,12,Central,31.16%,8908,0
3,12,Central East,4.37%,1249,1
3,12,East,10.14%,2900,4
3,12,North,5.02%,1435,2
3,12,North East,4.22%,1206,8
3,12,North West,4.39%,1256,9
3,12,South,12.62%,3609,3
3,12,South East,13.20%,3774,7
3,12,South West,10.57%,3022,6
3,12,West,3.12%,891,5
3,11,CBD,1.13%,324,10
3,11,Central,31.66%,9058,0
3,11,Central East,4.06%,1162,1
3,11,East,10.62%,3039,4
3,11,North,4.69%,1342,2
3,11,North East,3.93%,1123,8
3,11,North West,3.90%,1116,9
3,11,South,12.82%,3667,3
3,11,South East,13.90%,3977,7
3,11,South West,10.36%,2965,6
3,11,West,2.92%,836,5
3,10,CBD,1.34%,376,10
3,10,Central,31.93%,8987,0
3,10,Central East,4.32%,1215,1
3,10,East,10.78%,3033,4
3,10,North,4.70%,1322,2
3,10,North East,3.51%,987,8
3,10,North West,4.32%,1215,9
3,10,South,12.10%,3406,3
3,10,South East,13.60%,3829,7
3,10,South West,10.27%,2890,6
3,10,West,3.14%,885,5
3,9,CBD,1.33%,337,10
3,9,Central,29.27%,7424,0
3,9,Central East,4.25%,1079,1
3,9,East,11.27%,2860,4
3,9,North,5.44%,1379,2
3,9,North East,3.40%,863,8
3,9,North West,4.10%,1041,9
3,9,South,11.42%,2896,3
3,9,South East,14.13%,3584,7
3,9,South West,11.20%,2842,6
3,9,West,4.18%,1061,5
3,8,CBD,1.15%,256,10
3,8,Central,25.62%,5727,0
3,8,Central East,4.25%,949,1
3,8,East,13.45%,3006,4
3,8,North,6.35%,1420,2
3,8,North East,3.23%,723,8
3,8,North West,4.27%,954,9
3,8,South,9.21%,2059,3
3,8,South East,14.08%,3147,7
3,8,South West,12.30%,2750,6
3,8,West,6.08%,1360,5
3,7,CBD,0.98%,166,10
3,7,Central,19.56%,3300,0
3,7,Central East,4.07%,686,1
3,7,East,19.31%,3258,4
3,7,North,7.38%,1245,2
3,7,North East,3.26%,550,8
3,7,North West,4.15%,700,9
3,7,South,10.16%,1714,3
3,7,South East,13.19%,2226,7
3,7,South West,10.05%,1695,6
3,7,West,7.89%,1332,5
3,6,CBD,0.80%,105,10
3,6,Central,17.36%,2275,0
3,6,Central East,3.99%,523,1
3,6,East,23.91%,3134,4
3,6,North,7.07%,927,2
3,6,North East,3.70%,485,8
3,6,North West,4.33%,568,9
3,6,South,9.43%,1236,3
3,6,South East,13.04%,1709,7
3,6,South West,10.35%,1357,6
3,6,West,6.02%,789,5
3,5,CBD,0.70%,69,10
3,5,Central,19.34%,1903,0
3,5,Central East,5.95%,585,1
3,5,East,24.85%,2445,4
3,5,North,7.06%,695,2
3,5,North East,4.70%,462,8
3,5,North West,4.70%,462,9
3,5,South,7.51%,739,3
3,5,South East,12.75%,1255,7
3,5,South West,7.82%,769,6
3,5,West,4.63%,456,5
3,4,CBD,0.80%,80,10
3,4,Central,22.65%,2266,0
3,4,Central East,6.27%,627,1
3,4,East,16.36%,1637,4
3,4,North,6.40%,640,2
3,4,North East,6.08%,608,8
3,4,North West,6.02%,602,9
3,4,South,8.29%,829,3
3,4,South East,14.29%,1430,7
3,4,South West,8.14%,814,6
3,4,West,4.71%,471,5
3,3,CBD,0.79%,101,10
3,3,Central,25.84%,3299,0
3,3,Central East,5.93%,757,1
3,3,East,11.81%,1508,4
3,3,North,6.56%,837,2
3,3,North East,6.59%,842,8
3,3,North West,6.13%,783,9
3,3,South,9.26%,1182,3
3,3,South East,15.27%,1950,7
3,3,South West,7.68%,981,6
3,3,West,4.14%,528,5
3,2,CBD,0.78%,114,10
3,2,Central,25.88%,3774,0
3,2,Central East,6.13%,894,1
3,2,East,9.09%,1325,4
3,2,North,6.29%,917,2
3,2,North East,6.90%,1006,8
3,2,North West,6.68%,974,9
3,2,South,9.44%,1376,3
3,2,South East,15.78%,2301,7
3,2,South West,8.62%,1257,6
3,2,West,4.42%,645,5
3,1,CBD,0.88%,166,10
3,1,Central,25.49%,4790,0
3,1,Central East,6.46%,1214,1
3,1,East,8.92%,1677,4
3,1,North,6.94%,1304,2
3,1,North East,7.13%,1339,8
3,1,North West,6.35%,1193,9
3,1,South,9.53%,1790,3
3,1,South East,15.87%,2982,7
3,1,South West,8.21%,1543,6
3,1,West,4.23%,794,5
3,0,CBD,1.16%,281,10
3,0,Central,25.14%,6066,0
3,0,Central East,6.29%,1519,1
3,0,East,9.60%,2316,4
3,0,North,6.99%,1688,2
3,0,North East,7.13%,1720,8
3,0,North West,6.59%,1590,9
3,0,South,9.16%,2210,3
3,0,South East,15.13%,3651,7
3,0,South West,8.40%,2028,6
3,0,West,4.40%,1063,5
4,23,CBD,0.98%,158,10
4,23,Central,23.84%,3844,0
4,23,Central East,6.10%,984,1
4,23,East,11.43%,1843,4
4,23,North,7.02%,1132,2
4,23,North East,6.76%,1090,8
4,23,North West,6.57%,1059,9
4,23,South,8.39%,1353,3
4,23,South East,15.84%,2555,7
4,23,South West,7.52%,1213,6
4,23,West,5.56%,896,5
4,22,CBD,0.99%,205,10
4,22,Central,23.64%,4898,0
4,22,Central East,5.81%,1203,1
4,22,East,12.37%,2562,4
4,22,North,7.86%,1629,2
4,22,North East,6.69%,1387,8
4,22,North West,6.96%,1441,9
4,22,South,8.05%,1667,3
4,22,South East,14.70%,3045,7
4,22,South West,7.57%,1569,6
4,22,West,5.36%,1111,5
4,21,CBD,0.91%,208,10
4,21,Central,22.82%,5241,0
4,21,Central East,5.47%,1257,1
4,21,East,12.51%,2873,4
4,21,North,7.48%,1718,2
4,21,North East,6.89%,1583,8
4,21,North West,7.37%,1694,9
4,21,South,8.71%,2001,3
4,21,South East,14.72%,3381,7
4,21,South West,8.04%,1846,6
4,21,West,5.09%,1169,5
4,20,CBD,0.97%,232,10
4,20,Central,23.87%,5735,0
4,20,Central East,5.14%,1234,1
4,20,East,12.31%,2958,4
4,20,North,7.17%,1723,2
4,20,North East,6.27%,1506,8
4,20,North West,7.03%,1689,9
4,20,South,9.11%,2189,3
4,20,South East,14.72%,3538,7
4,20,South West,8.49%,2039,6
4,20,West,4.93%,1185,5
4,19,CBD,0.92%,212,10
4,19,Central,25.52%,5908,0
