Day,Hour,Region,% of Total Sum of Trip Count,Sum of Trip Count,ID,,
3,10,East,0.1129863,3180,4,,
3,10,North,0.0582341,1639,2,,
3,10,North East,0.0520519,1465,8,,
3,10,North West,0.0514123,1447,9,,
3,10,South,0.0978859,2755,3,,
3,10,South East,0.1515012,4264,7,,
3,10,South West,0.1030023,2899,6,,
3,10,West,0.0409664,1153,5,,
4,10,CBD,0.0056628,110,10,,
4,10,Central,0.2521493,4898,0,,
4,10,Central East,0.0674903,1311,1,,
4,10,East,0.1079537,2097,4,,
4,10,North,0.0538481,1046,2,,
4,10,North East,0.0524067,1018,8,,
4,10,North West,0.0511712,994,9,,
4,10,South,0.1012098,1966,3,,
4,10,South East,0.1737452,3375,7,,
4,10,South West,0.1034234,2009,6,,
4,10,West,0.0309395,601,5,,
5,10,CBD,0.0211957,619,10,,
5,10,Central,0.2782153,8125,0,,
5,10,Central East,0.0506780,1480,1,,
5,10,East,0.1039584,3036,4,,
5,10,North,0.0454732,1328,2,,
5,10,North East,0.0446857,1305,8,,
5,10,North West,0.0464662,1357,9,,
5,10,South,0.1144364,3342,3,,
5,10,South East,0.1430626,4178,7,,
5,10,South West,0.1062526,3103,6,,
5,10,West,0.0455759,1331,5,,
1,11,CBD,0.0251956,789,10,,
1,11,Central,0.2951940,9244,0,,
1,11,Central East,0.0489861,1534,1,,
1,11,East,0.1023471,3205,4,,
1,11,North,0.0378732,1186,2,,
1,11,North East,0.0347118,1087,8,,
1,11,North West,0.0423120,1325,9,,
1,11,South,0.1180904,3698,3,,
1,11,South East,0.1424557,4461,7,,
1,11,South West,0.1092448,3421,6,,
1,11,West,0.0435893,1365,5,,
2,11,CBD,0.0237573,736,10,,
2,11,Central,0.2948031,9133,0,,
2,11,Central East,0.0479664,1486,1,,
2,11,East,0.0978373,3031,4,,
2,11,North,0.0402195,1246,2,,
2,11,North East,0.0371530,1151,8,,
2,11,North West,0.0397999,1233,9,,
2,11,South,0.1240478,3843,3,,
2,11,South East,0.1411879,4374,7,,
2,11,South West,0.1120723,3472,6,,
2,11,West,0.0411556,1275,5,,
3,11,CBD,0.0103114,295,10,,
3,11,Central,0.2808207,8034,0,,
3,11,Central East,0.0489356,1400,1,,
3,11,East,0.1148939,3287,4,,
3,11,North,0.0545982,1562,2,,
3,11,North East,0.0472928,1353,8,,
3,11,North West,0.0492153,1408,9,,
3,11,South,0.1058408,3028,3,,
3,11,South East,0.1519801,4348,7,,
3,11,South West,0.1020308,2919,6,,
3,11,West,0.0340802,975,5,,
4,11,CBD,0.0083801,230,10,,
4,11,Central,0.2864534,7862,0,,
4,11,Central East,0.0487138,1337,1,,
4,11,East,0.1168841,3208,4,,
4,11,North,0.0527581,1448,2,,
4,11,North East,0.0472200,1296,8,,
4,11,North West,0.0492968,1353,9,,
4,11,South,0.1049698,2881,3,,
4,11,South East,0.1587845,4358,7,,
4,11,South West,0.0937842,2574,6,,
4,11,West,0.0327552,899,5,,
5,11,CBD,0.0244113,707,10,,
5,11,Central,0.3005317,8704,0,,
5,11,Central East,0.0469581,1360,1,,
5,11,East,0.1068296,3094,4,,
5,11,North,0.0447828,1297,2,,
5,11,North East,0.0400870,1161,8,,
5,11,North West,0.0413991,1199,9,,
5,11,South,0.1110766,3217,3,,
5,11,South East,0.1347628,3903,7,,
5,11,South West,0.1096955,3177,6,,
5,11,West,0.0394655,1143,5,,
1,12,CBD,0.0264317,840,10,,
1,12,Central,0.3012272,9573,0,,
1,12,Central East,0.0510384,1622,1,,
1,12,East,0.0972310,3090,4,,
1,12,North,0.0418502,1330,2,,
1,12,North East,0.0394273,1253,8,,
1,12,North West,0.0420076,1335,9,,
